Professor_Code,professor_name,Years_of_Experience,Field_of_Expertise,Past_Mentee_Performance,Behavior_Rating,Feedback_Rating,Contact_Email
P8991,Tom  Barker,14,AI/ML,5.9,8.45,7.97,tom..barker@univ.edu
P8992,Tom  Barker,14,AI/ML,6.19,10.0,8.36,tom..barker@univ.edu
P8993,Tom  Barker,15,Cybersecurity,7.78,9.71,7.24,tom..barker@univ.edu
P8994,Tom  Barker,3,Mobile Development,7.1,6.92,8.15,tom..barker@univ.edu
P8995,Tom  Barker,8,AI/ML,6.69,5.36,7.05,tom..barker@univ.edu
P8996,Tom  Barker,10,AI/ML,5.45,9.47,6.42,tom..barker@univ.edu
P8997,Tom  Barker,6,Mobile Development,6.36,8.72,8.21,tom..barker@univ.edu
P8998,Tom  Barker,7,Mobile Development,6.42,8.8,7.65,tom..barker@univ.edu
P8999,Tom  Barker,9,Data Science,6.52,7.15,8.74,tom..barker@univ.edu
P9000,Tom  Barker,6,AI/ML,7.74,7.08,6.13,tom..barker@univ.edu
P9001,Tom  Barker,6,Cybersecurity,7.4,8.23,7.16,tom..barker@univ.edu
P9002,Tom  Barker,17,Web Development,6.75,8.53,6.92,tom..barker@univ.edu
P9003,Tom  Barker,7,Web Development,7.17,10.0,7.41,tom..barker@univ.edu
P9004,Tom  Barker,11,Mobile Development,9.16,9.22,6.02,tom..barker@univ.edu
P9005,Chuck  Fields,4,Cybersecurity,7.45,8.38,8.82,chuck..fields@univ.edu
P9006,Chuck  Fields,9,Data Science,8.75,3.84,7.23,chuck..fields@univ.edu
P9007,Chuck  Fields,19,AI/ML,6.33,8.38,5.17,chuck..fields@univ.edu
P9008,Chuck  Fields,18,Data Science,6.77,8.22,5.74,chuck..fields@univ.edu
P9009,Chuck  Fields,19,Cybersecurity,6.62,6.31,7.01,chuck..fields@univ.edu
P9010,Chuck  Fields,4,Data Science,7.48,8.93,5.93,chuck..fields@univ.edu
P9011,Chuck  Fields,13,Mobile Development,7.59,9.97,7.73,chuck..fields@univ.edu
P9012,Chuck  Fields,4,Web Development,7.66,10.0,8.88,chuck..fields@univ.edu
P9013,Chuck  Fields,3,Mobile Development,4.2,8.2,6.62,chuck..fields@univ.edu
P9014,Chuck  Fields,4,AI/ML,5.94,7.19,8.08,chuck..fields@univ.edu
P9015,Chuck  Fields,11,Mobile Development,7.32,9.85,9.09,chuck..fields@univ.edu
P9016,Chuck  Fields,4,Cybersecurity,9.24,6.85,3.76,chuck..fields@univ.edu
P9017,Chuck  Fields,17,Cybersecurity,6.4,8.27,7.16,chuck..fields@univ.edu
P9018,Chuck  Fields,12,AI/ML,9.68,6.25,6.72,chuck..fields@univ.edu
P9019,Chuck  Fields,17,AI/ML,5.4,9.7,6.6,chuck..fields@univ.edu
P9020,Chuck  Fields,12,Web Development,7.29,7.11,8.14,chuck..fields@univ.edu
P9021,Chuck  Fields,19,Data Science,6.81,9.33,6.69,chuck..fields@univ.edu
P9022,Chuck  Fields,11,Web Development,6.41,8.11,7.73,chuck..fields@univ.edu
P9023,Chuck  Fields,20,Mobile Development,8.08,8.87,7.77,chuck..fields@univ.edu
P9024,Chuck  Fields,6,Data Science,6.91,7.57,6.92,chuck..fields@univ.edu
P9025,Derek  Paulsen,11,AI/ML,5.19,8.5,9.31,derek..paulsen@univ.edu
P9026,Derek  Paulsen,18,Cybersecurity,4.65,9.43,9.25,derek..paulsen@univ.edu
P9027,Derek  Paulsen,6,Mobile Development,5.73,7.28,4.66,derek..paulsen@univ.edu
P9028,Derek  Paulsen,18,Web Development,7.76,8.58,8.22,derek..paulsen@univ.edu
P9029,Derek  Paulsen,3,AI/ML,6.76,9.88,7.72,derek..paulsen@univ.edu
P9030,Derek  Paulsen,8,Data Science,8.24,6.7,6.2,derek..paulsen@univ.edu
P9031,Derek  Paulsen,12,Data Science,6.82,7.01,7.53,derek..paulsen@univ.edu
P9032,Derek  Paulsen,18,Cybersecurity,7.33,6.93,8.62,derek..paulsen@univ.edu
P9033,Derek  Paulsen,6,AI/ML,8.81,7.67,7.05,derek..paulsen@univ.edu
P9034,Derek  Paulsen,15,AI/ML,6.78,5.82,6.74,derek..paulsen@univ.edu
P9035,Derek  Paulsen,18,Mobile Development,9.35,8.16,7.47,derek..paulsen@univ.edu
P9036,Derek  Paulsen,8,Mobile Development,7.82,10.0,7.67,derek..paulsen@univ.edu
P9037,Derek  Paulsen,13,Data Science,5.87,8.19,7.54,derek..paulsen@univ.edu
P9038,Glenda  Williams,5,Web Development,5.55,10.0,7.88,glenda..williams@univ.edu
P9039,Glenda  Williams,12,Data Science,5.27,5.68,6.35,glenda..williams@univ.edu
P9040,Glenda  Williams,3,Mobile Development,7.04,6.21,8.36,glenda..williams@univ.edu
P9041,Glenda  Williams,13,Mobile Development,5.04,5.48,8.02,glenda..williams@univ.edu
P9042,Glenda  Williams,14,Mobile Development,9.12,4.11,8.48,glenda..williams@univ.edu
P9043,Glenda  Williams,16,Data Science,9.69,8.15,5.96,glenda..williams@univ.edu
P9044,Glenda  Williams,10,AI/ML,5.08,6.3,8.83,glenda..williams@univ.edu
P9045,Glenda  Williams,13,Web Development,7.3,4.73,8.05,glenda..williams@univ.edu
P9046,Glenda  Williams,6,Web Development,4.65,7.49,6.1,glenda..williams@univ.edu
P9047,Glenda  Williams,9,Mobile Development,7.85,8.04,7.28,glenda..williams@univ.edu
P9048,Glenda  Williams,12,Cybersecurity,8.13,8.49,7.87,glenda..williams@univ.edu
P9049,Glenda  Williams,6,Data Science,7.0,7.76,9.32,glenda..williams@univ.edu
P9050,Glenda  Williams,4,AI/ML,7.36,8.86,6.41,glenda..williams@univ.edu
P9051,Glenda  Williams,20,Mobile Development,6.21,6.59,10.0,glenda..williams@univ.edu
P9052,Glenda  Williams,16,Cybersecurity,7.05,6.48,7.07,glenda..williams@univ.edu
P9053,Glenda  Williams,18,Mobile Development,7.86,9.88,5.77,glenda..williams@univ.edu
P9054,Glenda  Williams,13,Cybersecurity,6.78,10.0,7.97,glenda..williams@univ.edu
P9055,Danny  Welsch,12,Web Development,8.47,5.99,6.85,danny..welsch@univ.edu
P9056,Danny  Welsch,19,Cybersecurity,6.17,8.35,5.11,danny..welsch@univ.edu
P9057,Danny  Welsch,16,Web Development,6.62,6.65,8.87,danny..welsch@univ.edu
P9058,Danny  Welsch,6,Web Development,4.52,6.49,7.79,danny..welsch@univ.edu
P9059,Danny  Welsch,4,Data Science,9.79,8.35,9.36,danny..welsch@univ.edu
P9060,Danny  Welsch,9,Cybersecurity,4.61,8.4,7.24,danny..welsch@univ.edu
P9061,Danny  Welsch,11,AI/ML,8.34,7.34,6.31,danny..welsch@univ.edu
P9062,Danny  Welsch,18,AI/ML,7.51,7.45,6.11,danny..welsch@univ.edu
P9063,Danny  Welsch,18,Cybersecurity,6.99,6.33,5.98,danny..welsch@univ.edu
P9064,Danny  Welsch,20,Data Science,5.93,9.68,8.19,danny..welsch@univ.edu
P9065,Anne  Ramirez,13,AI/ML,6.45,7.88,7.96,anne..ramirez@univ.edu
P9066,Anne  Ramirez,9,Mobile Development,6.53,6.61,6.38,anne..ramirez@univ.edu
P9067,Anne  Ramirez,11,AI/ML,6.37,7.92,6.79,anne..ramirez@univ.edu
P9068,Anne  Ramirez,6,Data Science,4.45,7.52,9.13,anne..ramirez@univ.edu
P9069,Anne  Ramirez,15,Web Development,7.7,6.82,7.97,anne..ramirez@univ.edu
P9070,Anne  Ramirez,6,Web Development,7.78,6.68,8.81,anne..ramirez@univ.edu
P9071,Anne  Ramirez,4,Web Development,6.58,6.51,7.96,anne..ramirez@univ.edu
P9072,Anne  Ramirez,11,Data Science,6.95,6.34,8.41,anne..ramirez@univ.edu
P9073,Anne  Ramirez,14,Web Development,7.69,8.08,7.71,anne..ramirez@univ.edu
P9074,Anne  Ramirez,4,Web Development,5.34,7.48,4.73,anne..ramirez@univ.edu
P9075,Anne  Ramirez,8,Data Science,5.06,10.0,8.76,anne..ramirez@univ.edu
P9076,Anne  Ramirez,7,Mobile Development,7.01,8.97,7.18,anne..ramirez@univ.edu
P9077,Anne  Ramirez,7,AI/ML,6.61,8.4,7.27,anne..ramirez@univ.edu
P9078,Anne  Ramirez,7,Data Science,6.49,7.53,6.95,anne..ramirez@univ.edu
P9079,Anne  Ramirez,6,Data Science,7.73,7.52,7.42,anne..ramirez@univ.edu
P9080,Anne  Ramirez,11,Cybersecurity,6.53,5.81,6.51,anne..ramirez@univ.edu
P9081,Anne  Ramirez,12,Web Development,7.53,6.21,9.55,anne..ramirez@univ.edu
P9082,Robert  Rafalko,18,Mobile Development,9.13,6.37,7.61,robert..rafalko@univ.edu
P9083,Robert  Rafalko,12,Cybersecurity,9.52,5.58,6.68,robert..rafalko@univ.edu
P9084,Robert  Rafalko,12,Mobile Development,8.04,7.87,6.62,robert..rafalko@univ.edu
P9085,Robert  Rafalko,12,Web Development,4.14,5.57,7.01,robert..rafalko@univ.edu
P9086,Robert  Rafalko,8,Web Development,7.76,8.46,8.13,robert..rafalko@univ.edu
P9087,Robert  Rafalko,19,Web Development,8.87,7.73,9.71,robert..rafalko@univ.edu
P9088,Robert  Rafalko,7,AI/ML,7.32,10.0,6.91,robert..rafalko@univ.edu
P9089,Robert  Rafalko,8,Mobile Development,6.2,8.41,8.53,robert..rafalko@univ.edu
P9090,Robert  Rafalko,17,Mobile Development,6.51,6.31,7.56,robert..rafalko@univ.edu
P9091,Robert  Rafalko,20,Cybersecurity,8.48,5.96,5.75,robert..rafalko@univ.edu
P9092,Robert  Rafalko,6,Data Science,6.36,10.0,7.57,robert..rafalko@univ.edu
P9093,Robert  Rafalko,10,Web Development,5.86,6.66,8.08,robert..rafalko@univ.edu
P9094,Robert  Rafalko,18,Web Development,6.22,7.0,8.2,robert..rafalko@univ.edu
P9095,Robert  Rafalko,5,Cybersecurity,7.07,7.42,8.25,robert..rafalko@univ.edu
P9096,Kazim  Ruhi,12,Mobile Development,6.73,7.93,6.67,kazim..ruhi@univ.edu
P9097,Kazim  Ruhi,4,AI/ML,5.07,10.0,8.32,kazim..ruhi@univ.edu
P9098,Kazim  Ruhi,6,Mobile Development,6.49,8.24,5.28,kazim..ruhi@univ.edu
P9099,Kazim  Ruhi,8,AI/ML,9.28,8.1,7.95,kazim..ruhi@univ.edu
P9100,Kazim  Ruhi,13,AI/ML,7.22,7.87,6.11,kazim..ruhi@univ.edu
P9101,Kazim  Ruhi,16,Mobile Development,7.73,8.1,8.81,kazim..ruhi@univ.edu
P9102,Kazim  Ruhi,18,Web Development,5.3,9.21,7.93,kazim..ruhi@univ.edu
P9103,Kazim  Ruhi,4,AI/ML,7.8,7.22,5.89,kazim..ruhi@univ.edu
P9104,Kazim  Ruhi,19,Cybersecurity,8.81,7.24,7.73,kazim..ruhi@univ.edu
P9105,Kazim  Ruhi,11,Cybersecurity,7.38,9.46,7.74,kazim..ruhi@univ.edu
P9106,Kazim  Ruhi,19,AI/ML,5.55,7.16,7.22,kazim..ruhi@univ.edu
P9107,Kazim  Ruhi,17,Web Development,7.77,7.02,7.78,kazim..ruhi@univ.edu
P9108,Kazim  Ruhi,9,AI/ML,7.97,9.84,7.94,kazim..ruhi@univ.edu
P9109,Kazim  Ruhi,5,Cybersecurity,6.16,7.54,6.74,kazim..ruhi@univ.edu
P9110,Kazim  Ruhi,3,Cybersecurity,8.28,7.82,6.07,kazim..ruhi@univ.edu
P9111,Kazim  Ruhi,6,Mobile Development,7.54,7.48,6.28,kazim..ruhi@univ.edu
P9112,Kazim  Ruhi,20,Web Development,4.61,7.2,7.27,kazim..ruhi@univ.edu
P9113,Kazim  Ruhi,10,Mobile Development,6.29,7.54,8.53,kazim..ruhi@univ.edu
P9114,Kazim  Ruhi,8,Data Science,6.6,7.58,6.38,kazim..ruhi@univ.edu
P9115,Kazim  Ruhi,3,AI/ML,6.93,9.34,6.78,kazim..ruhi@univ.edu
P9116,Michael D  Kawaja,10,Mobile Development,6.99,6.66,8.14,michael.d..kawaja@univ.edu
P9117,Michael D  Kawaja,3,Web Development,7.95,10.0,7.42,michael.d..kawaja@univ.edu
P9118,Michael D  Kawaja,13,AI/ML,7.99,7.0,5.03,michael.d..kawaja@univ.edu
P9119,Michael D  Kawaja,17,AI/ML,8.94,9.3,7.79,michael.d..kawaja@univ.edu
P9120,Michael D  Kawaja,13,AI/ML,7.41,5.86,7.24,michael.d..kawaja@univ.edu
P9121,Michael D  Kawaja,12,AI/ML,8.77,7.0,6.24,michael.d..kawaja@univ.edu
P9122,Michael D  Kawaja,14,AI/ML,8.12,7.67,6.51,michael.d..kawaja@univ.edu
P9123,Michael D  Kawaja,3,Web Development,8.47,6.7,7.88,michael.d..kawaja@univ.edu
P9124,Michael D  Kawaja,9,Data Science,8.92,8.87,8.35,michael.d..kawaja@univ.edu
P9125,Barbara  Kimmelman,19,Cybersecurity,6.59,8.85,6.32,barbara..kimmelman@univ.edu
P9126,Barbara  Kimmelman,12,Data Science,6.9,6.94,7.54,barbara..kimmelman@univ.edu
P9127,Barbara  Kimmelman,8,Cybersecurity,4.48,5.28,7.02,barbara..kimmelman@univ.edu
P9128,Barbara  Kimmelman,19,Mobile Development,8.33,8.94,6.88,barbara..kimmelman@univ.edu
P9129,Barbara  Kimmelman,20,AI/ML,8.23,8.12,7.91,barbara..kimmelman@univ.edu
P9130,Barbara  Kimmelman,7,Mobile Development,7.17,7.27,7.2,barbara..kimmelman@univ.edu
P9131,Barbara  Kimmelman,20,Mobile Development,7.96,7.13,7.36,barbara..kimmelman@univ.edu
P9132,Barbara  Kimmelman,19,Cybersecurity,8.28,6.94,8.27,barbara..kimmelman@univ.edu
P9133,Barbara  Kimmelman,18,Web Development,7.02,9.27,6.72,barbara..kimmelman@univ.edu
P9134,Barbara  Kimmelman,10,AI/ML,7.52,7.5,6.47,barbara..kimmelman@univ.edu
P9135,Barbara  Kimmelman,15,Mobile Development,6.98,10.0,9.3,barbara..kimmelman@univ.edu
P9136,Barbara  Kimmelman,18,Data Science,6.88,10.0,8.78,barbara..kimmelman@univ.edu
P9137,Barbara  Kimmelman,13,AI/ML,6.18,8.99,7.41,barbara..kimmelman@univ.edu
P9138,Barbara  Kimmelman,8,Web Development,5.32,10.0,6.5,barbara..kimmelman@univ.edu
P9139,Barbara  Kimmelman,5,AI/ML,5.46,9.06,8.94,barbara..kimmelman@univ.edu
P9140,Barbara  Kimmelman,3,Mobile Development,6.91,7.46,7.21,barbara..kimmelman@univ.edu
P9141,Barbara  Kimmelman,20,Data Science,5.65,10.0,6.99,barbara..kimmelman@univ.edu
P9142,Barbara  Kimmelman,7,Mobile Development,5.87,7.76,9.19,barbara..kimmelman@univ.edu
P9143,Barbara  Kimmelman,15,Web Development,6.02,10.0,6.99,barbara..kimmelman@univ.edu
P9144,Barbara  Kimmelman,12,Cybersecurity,6.66,7.24,7.78,barbara..kimmelman@univ.edu
P9145,John  Arbegust,7,Data Science,8.36,9.4,6.65,john..arbegust@univ.edu
P9146,John  Arbegust,16,Web Development,4.44,8.01,6.87,john..arbegust@univ.edu
P9147,John  Arbegust,19,Web Development,7.06,6.4,8.21,john..arbegust@univ.edu
P9148,John  Arbegust,3,Mobile Development,5.89,6.66,7.92,john..arbegust@univ.edu
P9149,John  Arbegust,4,Mobile Development,6.94,4.4,9.35,john..arbegust@univ.edu
P9150,John  Arbegust,9,Mobile Development,6.25,7.9,8.83,john..arbegust@univ.edu
P9151,John  Arbegust,12,Cybersecurity,6.78,8.78,9.47,john..arbegust@univ.edu
P9152,John  Arbegust,9,AI/ML,5.15,4.75,9.48,john..arbegust@univ.edu
P9153,Michael  Martone,18,AI/ML,7.49,3.32,6.79,michael..martone@univ.edu
P9154,Michael  Martone,7,Mobile Development,7.07,6.66,6.3,michael..martone@univ.edu
P9155,Michael  Martone,14,Mobile Development,7.19,8.15,9.36,michael..martone@univ.edu
P9156,Michael  Martone,19,Cybersecurity,8.16,6.5,6.66,michael..martone@univ.edu
P9157,Michael  Martone,18,AI/ML,5.31,8.23,7.55,michael..martone@univ.edu
P9158,Leah  Hutchison,18,Cybersecurity,5.69,7.12,7.18,leah..hutchison@univ.edu
P9159,Leah  Hutchison,17,Web Development,8.99,5.9,6.44,leah..hutchison@univ.edu
P9160,Leah  Hutchison,14,AI/ML,7.65,9.08,6.82,leah..hutchison@univ.edu
P9161,Leah  Hutchison,12,Mobile Development,4.69,8.46,6.46,leah..hutchison@univ.edu
P9162,Leah  Hutchison,4,Data Science,6.78,7.43,5.82,leah..hutchison@univ.edu
P9163,Leah  Hutchison,9,Web Development,8.28,5.18,6.96,leah..hutchison@univ.edu
P9164,Leah  Hutchison,15,Data Science,9.5,7.18,8.26,leah..hutchison@univ.edu
P9165,Leah  Hutchison,5,Cybersecurity,8.87,6.64,9.55,leah..hutchison@univ.edu
P9166,Leah  Hutchison,17,Cybersecurity,6.45,7.16,7.74,leah..hutchison@univ.edu
P9167,Leah  Hutchison,3,Cybersecurity,6.85,6.7,6.63,leah..hutchison@univ.edu
P9168,Leah  Hutchison,5,Mobile Development,4.82,7.47,8.44,leah..hutchison@univ.edu
P9169,Leah  Hutchison,12,Cybersecurity,7.12,7.47,7.24,leah..hutchison@univ.edu
P9170,Leah  Hutchison,17,Data Science,7.24,9.29,7.75,leah..hutchison@univ.edu
P9171,Leah  Hutchison,8,Web Development,8.09,6.9,8.93,leah..hutchison@univ.edu
P9172,Leah  Hutchison,17,Mobile Development,4.36,8.12,8.51,leah..hutchison@univ.edu
P9173,Leah  Hutchison,9,Web Development,5.89,6.61,4.94,leah..hutchison@univ.edu
P9174,Leah  Hutchison,7,Cybersecurity,6.73,6.9,7.83,leah..hutchison@univ.edu
P9175,Leah  Hutchison,6,AI/ML,8.05,7.01,7.0,leah..hutchison@univ.edu
P9176,Leah  Hutchison,20,Mobile Development,6.52,9.34,7.59,leah..hutchison@univ.edu
P9177,Leah  Hutchison,5,Cybersecurity,9.83,7.42,6.15,leah..hutchison@univ.edu
P9178,B.R.  Smith,19,Mobile Development,5.7,7.72,7.35,b.r...smith@univ.edu
P9179,B.R.  Smith,20,AI/ML,6.41,7.26,6.0,b.r...smith@univ.edu
P9180,B.R.  Smith,20,Data Science,5.69,7.77,8.38,b.r...smith@univ.edu
P9181,B.R.  Smith,4,Data Science,6.75,7.72,8.99,b.r...smith@univ.edu
P9182,B.R.  Smith,15,Data Science,7.57,7.17,6.65,b.r...smith@univ.edu
P9183,B.R.  Smith,17,AI/ML,7.22,5.07,9.33,b.r...smith@univ.edu
P9184,B.R.  Smith,7,Web Development,5.96,7.09,8.35,b.r...smith@univ.edu
P9185,B.R.  Smith,5,AI/ML,8.47,8.17,8.29,b.r...smith@univ.edu
P9186,B.R.  Smith,7,AI/ML,8.66,9.01,7.9,b.r...smith@univ.edu
P9187,B.R.  Smith,7,Cybersecurity,6.16,5.69,8.36,b.r...smith@univ.edu
P9188,B.R.  Smith,7,Data Science,10.0,5.96,8.54,b.r...smith@univ.edu
P9189,B.R.  Smith,5,Mobile Development,5.67,7.07,5.11,b.r...smith@univ.edu
P9190,B.R.  Smith,5,Web Development,7.05,7.28,8.11,b.r...smith@univ.edu
P9191,B.R.  Smith,20,Mobile Development,7.05,4.61,9.62,b.r...smith@univ.edu
P9192,B.R.  Smith,6,Cybersecurity,5.65,7.96,7.6,b.r...smith@univ.edu
P9193,B.R.  Smith,3,Cybersecurity,7.24,9.39,8.51,b.r...smith@univ.edu
P9194,B.R.  Smith,18,Web Development,6.86,6.8,7.02,b.r...smith@univ.edu
P9195,B.R.  Smith,10,Mobile Development,7.5,7.69,5.28,b.r...smith@univ.edu
P9196,B.R.  Smith,19,Web Development,7.0,8.39,6.57,b.r...smith@univ.edu
P9197,B.R.  Smith,10,Web Development,7.96,7.7,10.0,b.r...smith@univ.edu
P9198,Eugene  Cuevas,9,Data Science,7.72,6.98,10.0,eugene..cuevas@univ.edu
P9199,Eugene  Cuevas,10,Mobile Development,5.81,7.04,7.13,eugene..cuevas@univ.edu
P9200,Eugene  Cuevas,14,Data Science,6.64,7.87,7.93,eugene..cuevas@univ.edu
P9201,Eugene  Cuevas,18,Data Science,6.02,8.95,9.15,eugene..cuevas@univ.edu
P9202,Eugene  Cuevas,14,Data Science,9.0,7.94,7.6,eugene..cuevas@univ.edu
P9203,Eugene  Cuevas,12,AI/ML,8.15,9.24,8.28,eugene..cuevas@univ.edu
P9204,Eugene  Cuevas,9,Cybersecurity,7.4,7.65,9.82,eugene..cuevas@univ.edu
P9205,Eugene  Cuevas,14,Cybersecurity,7.64,7.68,8.01,eugene..cuevas@univ.edu
P9206,Eugene  Cuevas,7,AI/ML,6.86,9.73,8.15,eugene..cuevas@univ.edu
P9207,Eugene  Cuevas,18,Web Development,7.18,6.58,7.4,eugene..cuevas@univ.edu
P9208,Eugene  Cuevas,11,Mobile Development,6.1,9.01,6.65,eugene..cuevas@univ.edu
P9209,Eugene  Cuevas,9,Mobile Development,6.2,8.29,8.64,eugene..cuevas@univ.edu
P9210,Eugene  Cuevas,16,Mobile Development,7.74,7.02,9.16,eugene..cuevas@univ.edu
P9211,Eugene  Cuevas,13,Data Science,5.71,6.28,6.63,eugene..cuevas@univ.edu
P9212,Eugene  Cuevas,9,Mobile Development,6.16,7.92,5.19,eugene..cuevas@univ.edu
P9213,Eugene  Cuevas,12,Mobile Development,6.73,8.15,4.18,eugene..cuevas@univ.edu
P9214,Eugene  Cuevas,11,Mobile Development,5.19,10.0,7.85,eugene..cuevas@univ.edu
P9215,Eugene  Cuevas,6,Cybersecurity,8.2,8.17,7.43,eugene..cuevas@univ.edu
P9216,Eugene  Cuevas,18,AI/ML,7.79,5.54,9.54,eugene..cuevas@univ.edu
P9217,Eugene  Cuevas,12,Web Development,7.51,8.3,7.23,eugene..cuevas@univ.edu
P9218,Susan  Sailors,19,AI/ML,6.53,9.82,9.19,susan..sailors@univ.edu
P9219,Susan  Sailors,11,Mobile Development,8.41,8.07,6.59,susan..sailors@univ.edu
P9220,Susan  Sailors,15,Web Development,7.49,8.42,8.15,susan..sailors@univ.edu
P9221,Susan  Sailors,3,Web Development,8.19,5.09,6.88,susan..sailors@univ.edu
P9222,Susan  Sailors,4,AI/ML,8.26,9.41,7.27,susan..sailors@univ.edu
P9223,Susan  Sailors,15,AI/ML,6.43,6.69,4.13,susan..sailors@univ.edu
P9224,Susan  Sailors,11,AI/ML,5.94,6.04,6.0,susan..sailors@univ.edu
P9225,Susan  Sailors,9,AI/ML,5.79,6.97,6.94,susan..sailors@univ.edu
P9226,Susan  Sailors,18,Data Science,7.07,8.08,6.93,susan..sailors@univ.edu
P9227,Susan  Sailors,9,Cybersecurity,3.73,6.8,8.48,susan..sailors@univ.edu
P9228,Susan  Sailors,8,Cybersecurity,5.71,8.91,6.3,susan..sailors@univ.edu
P9229,Susan  Sailors,20,Mobile Development,6.17,5.96,8.49,susan..sailors@univ.edu
P9230,Susan  Sailors,13,Data Science,6.26,8.09,5.36,susan..sailors@univ.edu
P9231,Susan  Sailors,14,Web Development,7.72,6.58,8.17,susan..sailors@univ.edu
P9232,Susan  Sailors,12,AI/ML,5.28,7.48,7.02,susan..sailors@univ.edu
P9233,Mike  Morucci,15,Mobile Development,4.97,9.83,6.25,mike..morucci@univ.edu
P9234,Mike  Morucci,14,Web Development,4.99,8.32,8.7,mike..morucci@univ.edu
P9235,Mike  Morucci,12,Cybersecurity,7.63,8.07,9.57,mike..morucci@univ.edu
P9236,Mike  Morucci,20,Web Development,6.3,6.4,8.83,mike..morucci@univ.edu
P9237,Linda  Bobo,6,AI/ML,6.26,7.48,7.57,linda..bobo@univ.edu
P9238,Linda  Bobo,7,AI/ML,9.09,6.97,9.48,linda..bobo@univ.edu
P9239,Linda  Bobo,7,Cybersecurity,7.53,4.79,8.14,linda..bobo@univ.edu
P9240,Linda  Bobo,14,AI/ML,6.12,8.39,7.32,linda..bobo@univ.edu
P9241,Linda  Bobo,5,Data Science,5.34,6.0,6.0,linda..bobo@univ.edu
P9242,Linda  Bobo,10,Mobile Development,9.26,7.4,6.31,linda..bobo@univ.edu
P9243,Vo  Liem,4,Cybersecurity,7.29,8.17,8.62,vo..liem@univ.edu
P9244,Vo  Liem,20,Cybersecurity,6.48,6.85,6.86,vo..liem@univ.edu
P9245,Vo  Liem,11,Web Development,7.24,6.25,6.15,vo..liem@univ.edu
P9246,Vo  Liem,15,Cybersecurity,6.5,8.67,8.08,vo..liem@univ.edu
P9247,Vo  Liem,9,Mobile Development,7.61,5.62,7.28,vo..liem@univ.edu
P9248,Vo  Liem,12,Data Science,4.97,6.59,7.33,vo..liem@univ.edu
P9249,Vo  Liem,11,Web Development,6.52,7.92,6.6,vo..liem@univ.edu
P9250,Vo  Liem,17,Mobile Development,5.73,7.64,4.42,vo..liem@univ.edu
P9251,Vo  Liem,7,Cybersecurity,6.91,7.38,6.1,vo..liem@univ.edu
P9252,Vo  Liem,14,AI/ML,5.85,9.95,5.55,vo..liem@univ.edu
P9253,Vo  Liem,3,AI/ML,6.28,8.67,8.63,vo..liem@univ.edu
P9254,Vo  Liem,14,Mobile Development,6.34,8.98,10.0,vo..liem@univ.edu
P9255,Vo  Liem,8,Data Science,7.31,6.81,7.29,vo..liem@univ.edu
P9256,Vo  Liem,18,AI/ML,6.54,10.0,4.03,vo..liem@univ.edu
P9257,Vo  Liem,5,Mobile Development,5.78,6.92,7.6,vo..liem@univ.edu
P9258,Vo  Liem,12,Web Development,7.5,8.37,9.25,vo..liem@univ.edu
P9259,Vo  Liem,20,Cybersecurity,9.5,8.3,7.58,vo..liem@univ.edu
P9260,Vo  Liem,15,Data Science,6.57,6.91,8.18,vo..liem@univ.edu
P9261,Vo  Liem,20,Data Science,8.56,6.05,8.0,vo..liem@univ.edu
P9262,Vo  Liem,5,Web Development,5.14,7.51,7.31,vo..liem@univ.edu
P9263,James  Nesta,5,Data Science,6.08,7.1,7.89,james..nesta@univ.edu
P9264,James  Nesta,14,Mobile Development,8.55,5.94,6.46,james..nesta@univ.edu
P9265,Susan  Cole,9,Data Science,7.26,6.86,7.5,susan..cole@univ.edu
P9266,Susan  Cole,10,Data Science,6.14,8.94,7.54,susan..cole@univ.edu
P9267,Susan  Cole,11,Data Science,8.0,6.67,4.92,susan..cole@univ.edu
P9268,P  Nicoletto,16,Mobile Development,5.76,8.84,7.34,p..nicoletto@univ.edu
P9269,P  Nicoletto,7,Cybersecurity,7.08,8.51,6.36,p..nicoletto@univ.edu
P9270,P  Nicoletto,18,AI/ML,8.12,8.34,4.82,p..nicoletto@univ.edu
P9271,P  Nicoletto,14,Data Science,7.44,10.0,7.43,p..nicoletto@univ.edu
P9272,P  Nicoletto,6,Web Development,10.0,6.77,5.9,p..nicoletto@univ.edu
P9273,P  Nicoletto,10,Web Development,6.32,8.42,7.08,p..nicoletto@univ.edu
P9274,P  Nicoletto,9,Mobile Development,7.83,7.77,7.59,p..nicoletto@univ.edu
P9275,P  Nicoletto,17,Cybersecurity,8.06,7.82,7.98,p..nicoletto@univ.edu
P9276,P  Nicoletto,8,Data Science,6.74,3.86,9.42,p..nicoletto@univ.edu
P9277,P  Nicoletto,7,Mobile Development,5.88,6.81,4.19,p..nicoletto@univ.edu
P9278,P  Nicoletto,16,AI/ML,8.39,7.07,7.36,p..nicoletto@univ.edu
P9279,P  Nicoletto,15,Cybersecurity,6.39,7.79,9.05,p..nicoletto@univ.edu
P9280,P  Nicoletto,12,Cybersecurity,7.77,5.68,6.87,p..nicoletto@univ.edu
P9281,P  Nicoletto,20,Mobile Development,7.51,7.53,7.78,p..nicoletto@univ.edu
P9282,P  Nicoletto,6,Web Development,7.15,6.49,6.93,p..nicoletto@univ.edu
P9283,P  Nicoletto,10,Cybersecurity,8.62,6.31,6.24,p..nicoletto@univ.edu
